Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
L_LED1,-87.6388,2.6312,BottomLayer,-90
L_LED2,-92.6388,2.6312,BottomLayer,-90
L_LED3,-97.6388,2.6312,BottomLayer,-90
L_LED4,-102.6388,2.6312,BottomLayer,-90
L_LED5,-107.6388,2.6312,BottomLayer,-90
L_LED6,-112.6388,2.6312,BottomLayer,-90
L_LED7,-117.6388,2.6312,BottomLayer,-90
L_LED8,-122.6388,2.6312,BottomLayer,-90
L_LED9,-127.6388,2.6312,BottomLayer,-90
L_LED10,-132.6388,2.6312,BottomLayer,-90
L_LED11,-137.6388,2.6312,BottomLayer,-90
L_LED12,-142.6312,7.6388,BottomLayer,90
L_LED13,-137.6312,7.6388,BottomLayer,90
L_LED14,-132.6312,7.6388,BottomLayer,90
L_LED15,-127.6312,7.6388,BottomLayer,90
L_LED16,-122.6312,7.6388,BottomLayer,90
L_LED17,-117.6312,7.6388,BottomLayer,90
L_LED18,-112.6312,7.6388,BottomLayer,90
L_LED19,-107.6312,7.6388,BottomLayer,90
L_LED20,-102.6312,7.6388,BottomLayer,90
L_LED21,-97.6312,7.6388,BottomLayer,90
L_LED22,-92.6312,7.6388,BottomLayer,90
L_LED23,-87.6312,7.6388,BottomLayer,90
L_LED24,-82.6312,7.6388,BottomLayer,90
L_LED25,-82.6388,12.6312,BottomLayer,-90
L_LED26,-87.6388,12.6312,BottomLayer,-90
L_LED27,-92.6388,12.6312,BottomLayer,-90
L_LED28,-97.6388,12.6312,BottomLayer,-90
L_LED29,-102.6388,12.6312,BottomLayer,-90
L_LED30,-107.6388,12.6312,BottomLayer,-90
L_LED31,-112.6388,12.6312,BottomLayer,-90
L_LED32,-117.6388,12.6312,BottomLayer,-90
L_LED33,-122.6388,12.6312,BottomLayer,-90
L_LED34,-127.6388,12.6312,BottomLayer,-90
L_LED35,-132.6388,12.6312,BottomLayer,-90
L_LED36,-137.6388,12.6312,BottomLayer,-90
L_LED37,-142.6388,12.6312,BottomLayer,-90
L_LED38,-147.6312,17.6388,BottomLayer,90
L_LED39,-142.6312,17.6388,BottomLayer,90
L_LED40,-137.6152,17.6388,BottomLayer,90
L_LED41,-132.6312,17.6388,BottomLayer,90
L_LED42,-127.6312,17.6388,BottomLayer,90
L_LED43,-122.6312,17.6388,BottomLayer,90
L_LED44,-117.6312,17.6388,BottomLayer,90
L_LED45,-112.6312,17.6388,BottomLayer,90
L_LED46,-107.6312,17.6388,BottomLayer,90
L_LED47,-102.6152,17.6388,BottomLayer,90
L_LED48,-97.6312,17.6388,BottomLayer,90
L_LED49,-92.6312,17.6388,BottomLayer,90
L_LED50,-87.6312,17.6388,BottomLayer,90
L_LED51,-82.6312,17.6388,BottomLayer,90
L_LED52,-82.6388,22.6312,BottomLayer,-90
L_LED53,-87.6388,22.6312,BottomLayer,-90
L_LED54,-92.6388,22.6312,BottomLayer,-90
L_LED55,-97.6388,22.6312,BottomLayer,-90
L_LED56,-102.6388,22.6312,BottomLayer,-90
L_LED57,-107.6388,22.6312,BottomLayer,-90
L_LED58,-112.6388,22.6312,BottomLayer,-90
L_LED59,-117.6388,22.6312,BottomLayer,-90
L_LED60,-122.6388,22.6312,BottomLayer,-90
L_LED61,-127.6388,22.6312,BottomLayer,-90
L_LED62,-132.6388,22.6312,BottomLayer,-90
L_LED63,-137.6388,22.6312,BottomLayer,-90
L_LED64,-142.6388,22.6312,BottomLayer,-90
L_LED65,-147.6388,22.6312,BottomLayer,-90
L_LED66,-147.6312,27.6388,BottomLayer,90
L_LED67,-142.6312,27.6388,BottomLayer,90
L_LED68,-137.6312,27.6388,BottomLayer,90
L_LED69,-132.6312,27.6388,BottomLayer,90
L_LED70,-127.6312,27.6388,BottomLayer,90
L_LED71,-122.6312,27.6388,BottomLayer,90
L_LED72,-117.6312,27.6388,BottomLayer,90
L_LED73,-112.6312,27.6388,BottomLayer,90
L_LED74,-107.6312,27.6388,BottomLayer,90
L_LED75,-102.6312,27.6388,BottomLayer,90
L_LED76,-97.6312,27.6388,BottomLayer,90
L_LED77,-92.6312,27.6388,BottomLayer,90
L_LED78,-87.6312,27.6388,BottomLayer,90
L_LED79,-82.6312,27.6388,BottomLayer,90
L_LED80,-82.6388,32.6312,BottomLayer,-90
L_LED81,-87.6388,32.6312,BottomLayer,-90
L_LED82,-92.6388,32.6312,BottomLayer,-90
L_LED83,-97.6388,32.6312,BottomLayer,-90
L_LED84,-102.6388,32.6312,BottomLayer,-90
L_LED85,-107.6388,32.6312,BottomLayer,-90
L_LED86,-112.6388,32.6312,BottomLayer,-90
L_LED87,-117.6388,32.6312,BottomLayer,-90
L_LED88,-122.6388,32.6312,BottomLayer,-90
L_LED89,-127.6388,32.6312,BottomLayer,-90
L_LED90,-132.6388,32.6312,BottomLayer,-90
L_LED91,-137.6388,32.6312,BottomLayer,-90
L_LED92,-142.6388,32.6312,BottomLayer,-90
L_LED93,-147.6388,32.6312,BottomLayer,-90
L_LED94,-152.6388,32.6312,BottomLayer,-90
L_LED95,-152.6312,37.6388,BottomLayer,90
L_LED96,-147.6312,37.6388,BottomLayer,90
L_LED97,-142.6312,37.6388,BottomLayer,90
L_LED98,-137.6312,37.6388,BottomLayer,90
L_LED99,-132.6312,37.6388,BottomLayer,90
L_LED100,-127.6312,37.6388,BottomLayer,90
L_LED101,-122.6312,37.6388,BottomLayer,90
L_LED102,-117.6312,37.6388,BottomLayer,90
L_LED103,-112.6312,37.6388,BottomLayer,90
L_LED104,-107.6312,37.6388,BottomLayer,90
L_LED105,-102.6312,37.6388,BottomLayer,90
L_LED106,-97.6312,37.6388,BottomLayer,90
L_LED107,-92.6312,37.6388,BottomLayer,90
L_LED108,-87.6312,37.6388,BottomLayer,90
L_LED109,-82.6312,37.6388,BottomLayer,90
L_LED110,-82.6388,42.6312,BottomLayer,-90
L_LED111,-87.6388,42.6312,BottomLayer,-90
L_LED112,-92.6388,42.6312,BottomLayer,-90
L_LED113,-97.6388,42.6312,BottomLayer,-90
L_LED114,-102.6388,42.6312,BottomLayer,-90
L_LED115,-107.6388,42.6312,BottomLayer,-90
L_LED116,-112.6388,42.6312,BottomLayer,-90
L_LED117,-117.6388,42.6312,BottomLayer,-90
L_LED118,-122.6388,42.6312,BottomLayer,-90
L_LED119,-127.6388,42.6312,BottomLayer,-90
L_LED120,-132.6388,42.6312,BottomLayer,-90
L_LED121,-137.6388,42.6312,BottomLayer,-90
L_LED122,-142.6388,42.6312,BottomLayer,-90
L_LED123,-147.6388,42.6312,BottomLayer,-90
L_LED124,-152.6388,42.6312,BottomLayer,-90
L_LED125,-157.6388,42.6312,BottomLayer,-90
L_LED126,-157.6312,47.6388,BottomLayer,90
L_LED127,-152.6312,47.6388,BottomLayer,90
L_LED128,-147.6312,47.6388,BottomLayer,90
L_LED129,-142.6312,47.6388,BottomLayer,90
L_LED130,-137.6312,47.6388,BottomLayer,90
L_LED131,-132.6312,47.6388,BottomLayer,90
L_LED132,-127.6312,47.6388,BottomLayer,90
L_LED133,-122.6312,47.6388,BottomLayer,90
L_LED134,-117.6312,47.6388,BottomLayer,90
L_LED135,-112.6312,47.6388,BottomLayer,90
L_LED136,-107.6312,47.6388,BottomLayer,90
L_LED137,-102.6312,47.6388,BottomLayer,90
L_LED138,-97.6312,47.6388,BottomLayer,90
L_LED139,-92.6312,47.6388,BottomLayer,90
L_LED140,-87.6312,47.6388,BottomLayer,90
L_LED141,-82.6312,47.6388,BottomLayer,90
L_LED142,-82.6388,52.6312,BottomLayer,-90
L_LED143,-87.6388,52.6312,BottomLayer,-90
L_LED144,-92.6388,52.6312,BottomLayer,-90
L_LED145,-97.6388,52.6312,BottomLayer,-90
L_LED146,-102.6388,52.6312,BottomLayer,-90
L_LED147,-107.6388,52.6312,BottomLayer,-90
L_LED148,-112.6388,52.6312,BottomLayer,-90
L_LED149,-117.6388,52.6312,BottomLayer,-90
L_LED150,-122.6388,52.6312,BottomLayer,-90
L_LED151,-127.6388,52.6312,BottomLayer,-90
L_LED152,-132.6388,52.6312,BottomLayer,-90
L_LED153,-137.6388,52.6312,BottomLayer,-90
L_LED154,-142.6388,52.6312,BottomLayer,-90
L_LED155,-147.6388,52.6312,BottomLayer,-90
L_LED156,-152.6388,52.6312,BottomLayer,-90
L_LED157,-157.6388,52.6312,BottomLayer,-90
L_LED158,-162.6388,52.6312,BottomLayer,-90
L_LED159,-162.6312,57.6388,BottomLayer,90
L_LED160,-157.6312,57.6388,BottomLayer,90
L_LED161,-152.6312,57.6388,BottomLayer,90
L_LED162,-147.6312,57.6388,BottomLayer,90
L_LED163,-142.6312,57.6388,BottomLayer,90
L_LED164,-137.6312,57.6388,BottomLayer,90
L_LED165,-132.6312,57.6388,BottomLayer,90
L_LED166,-127.6312,57.6388,BottomLayer,90
L_LED167,-122.6312,57.6388,BottomLayer,90
L_LED168,-117.6312,57.6388,BottomLayer,90
L_LED169,-112.6312,57.6388,BottomLayer,90
L_LED170,-107.6312,57.6388,BottomLayer,90
L_LED171,-102.6312,57.6388,BottomLayer,90
L_LED172,-97.6312,57.6388,BottomLayer,90
L_LED173,-92.6312,57.6388,BottomLayer,90
L_LED174,-87.6312,57.6388,BottomLayer,90
L_LED175,-82.6312,57.6388,BottomLayer,90
L_LED176,-82.6388,62.6312,BottomLayer,-90
L_LED177,-87.6388,62.6312,BottomLayer,-90
L_LED178,-92.6388,62.6312,BottomLayer,-90
L_LED179,-97.6388,62.6312,BottomLayer,-90
L_LED180,-102.6388,62.6312,BottomLayer,-90
L_LED181,-107.6388,62.6312,BottomLayer,-90
L_LED182,-112.6388,62.6312,BottomLayer,-90
L_LED183,-117.6388,62.6312,BottomLayer,-90
L_LED184,-122.6388,62.6312,BottomLayer,-90
L_LED185,-127.6388,62.6312,BottomLayer,-90
L_LED186,-132.6388,62.6312,BottomLayer,-90
L_LED187,-137.6388,62.6312,BottomLayer,-90
L_LED188,-142.6388,62.6312,BottomLayer,-90
L_LED189,-147.6388,62.6312,BottomLayer,-90
L_LED190,-152.6388,62.6312,BottomLayer,-90
L_LED191,-157.6388,62.6312,BottomLayer,-90
L_LED192,-162.6388,62.6312,BottomLayer,-90
L_LED193,-167.6388,62.6312,BottomLayer,-90
L_LED194,-167.6152,67.6388,BottomLayer,90
L_LED195,-162.6312,67.6388,BottomLayer,90
L_LED196,-157.6312,67.6388,BottomLayer,90
L_LED197,-152.6312,67.6388,BottomLayer,90
L_LED198,-147.6312,67.6388,BottomLayer,90
L_LED199,-142.6312,67.6388,BottomLayer,90
L_LED200,-137.6312,67.6388,BottomLayer,90
L_LED201,-132.6312,67.6388,BottomLayer,90
L_LED202,-127.6312,67.6388,BottomLayer,90
L_LED203,-122.6312,67.6388,BottomLayer,90
L_LED204,-117.6312,67.6388,BottomLayer,90
L_LED205,-112.6312,67.6388,BottomLayer,90
L_LED206,-107.6312,67.6388,BottomLayer,90
L_LED207,-102.6312,67.6388,BottomLayer,90
L_LED208,-97.6312,67.6388,BottomLayer,90
L_LED209,-92.6312,67.6388,BottomLayer,90
L_LED210,-87.6312,67.6388,BottomLayer,90
L_LED211,-82.6312,67.6388,BottomLayer,90
L_LED212,-82.6388,72.6312,BottomLayer,-90
L_LED213,-87.6388,72.6312,BottomLayer,-90
L_LED214,-92.6388,72.6312,BottomLayer,-90
L_LED215,-97.6388,72.6312,BottomLayer,-90
L_LED216,-102.6388,72.6312,BottomLayer,-90
L_LED217,-107.6388,72.6312,BottomLayer,-90
L_LED218,-112.6388,72.6312,BottomLayer,-90
L_LED219,-117.6388,72.6312,BottomLayer,-90
L_LED220,-122.6388,72.6312,BottomLayer,-90
L_LED221,-127.6388,72.6312,BottomLayer,-90
L_LED222,-132.6388,72.6312,BottomLayer,-90
L_LED223,-137.6388,72.6312,BottomLayer,-90
L_LED224,-142.6388,72.6312,BottomLayer,-90
L_LED225,-147.6388,72.6312,BottomLayer,-90
L_LED226,-152.6388,72.6312,BottomLayer,-90
L_LED227,-157.6388,72.6312,BottomLayer,-90
L_LED228,-162.6388,72.6312,BottomLayer,-90
L_LED229,-167.6388,72.6312,BottomLayer,-90
L_LED230,-172.6312,77.6388,BottomLayer,90
L_LED231,-167.6312,77.6388,BottomLayer,90
L_LED232,-162.6312,77.6388,BottomLayer,90
L_LED233,-157.6312,77.6388,BottomLayer,90
L_LED234,-152.6312,77.6388,BottomLayer,90
L_LED235,-147.6312,77.6388,BottomLayer,90
L_LED236,-142.6312,77.6388,BottomLayer,90
L_LED237,-137.6312,77.6388,BottomLayer,90
L_LED238,-132.6312,77.6388,BottomLayer,90
L_LED239,-127.6312,77.6388,BottomLayer,90
L_LED240,-122.6312,77.6388,BottomLayer,90
L_LED241,-117.6312,77.6388,BottomLayer,90
L_LED242,-112.6312,77.6388,BottomLayer,90
L_LED243,-107.6312,77.6388,BottomLayer,90
L_LED244,-102.6312,77.6388,BottomLayer,90
L_LED245,-97.6312,77.6388,BottomLayer,90
L_LED246,-92.6312,77.6388,BottomLayer,90
L_LED247,-87.6312,77.6388,BottomLayer,90
L_LED248,-82.6312,77.6388,BottomLayer,90
L_LED249,-82.6388,82.6312,BottomLayer,-90
L_LED250,-87.6388,82.6312,BottomLayer,-90
L_LED251,-92.6388,82.6312,BottomLayer,-90
L_LED252,-97.6388,82.6312,BottomLayer,-90
L_LED253,-102.6388,82.6312,BottomLayer,-90
L_LED254,-107.6388,82.6312,BottomLayer,-90
L_LED255,-112.6388,82.6312,BottomLayer,-90
L_LED256,-117.6388,82.6312,BottomLayer,-90
L_LED257,-122.6388,82.6312,BottomLayer,-90
L_LED258,-127.6388,82.6312,BottomLayer,-90
L_LED259,-132.6388,82.6312,BottomLayer,-90
L_LED260,-137.6388,82.6312,BottomLayer,-90
L_LED261,-142.6388,82.6312,BottomLayer,-90
L_LED262,-147.6388,82.6312,BottomLayer,-90
L_LED263,-152.6388,82.6312,BottomLayer,-90
L_LED264,-157.6388,82.6312,BottomLayer,-90
L_LED265,-162.6388,82.6312,BottomLayer,-90
L_LED266,-167.6388,82.6312,BottomLayer,-90
L_LED267,-172.6388,82.6312,BottomLayer,-90
L_LED268,-167.6312,87.6388,BottomLayer,90
L_LED269,-162.6312,87.6388,BottomLayer,90
L_LED270,-157.6312,87.6388,BottomLayer,90
L_LED271,-152.6312,87.6388,BottomLayer,90
L_LED272,-147.6312,87.6388,BottomLayer,90
L_LED273,-142.6312,87.6388,BottomLayer,90
L_LED274,-137.6312,87.6388,BottomLayer,90
L_LED275,-132.6312,87.6388,BottomLayer,90
L_LED276,-127.6312,87.6388,BottomLayer,90
L_LED277,-122.6312,87.6388,BottomLayer,90
L_LED278,-117.6312,87.6388,BottomLayer,90
L_LED279,-112.6312,87.6388,BottomLayer,90
L_LED280,-107.6312,87.6388,BottomLayer,90
L_LED281,-102.6312,87.6388,BottomLayer,90
L_LED282,-97.6312,87.6388,BottomLayer,90
L_LED283,-92.6312,87.6388,BottomLayer,90
L_LED284,-87.6312,87.6388,BottomLayer,90
